SMILES,xtbS1,xtbT1
O[C@H]1[C@H]2CC[C@@H]1O2,6.447,6.445
C[C@@]12[C@H]3C[C@@H]1C[C@@H]23,6.225,6.224
C[C@@]12[C@H]3C[C@@H]1C[N@@]23,6.369,6.366
C[C@@]12[C@H]3C[C@@H]1O[C@@H]23,5.968,5.966
C[C@@]12[C@H]3C[N@@]1C[C@@H]23,6.328,6.327
O[C@@]12[C@H]3C[C@@H]1C[C@@H]23,5.377,5.376
O[C@@]12[C@H]3C[C@@H]1O[C@@H]23,5.991,5.986
C[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,4.967,4.678
C[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.819,5.814
C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.875,5.874
C[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,5.823,5.819
O[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.2,5.196
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.677,5.675
C1[C@H]2C[C@@H]3C[C@H]2[C@H]13,7.232,7.229
C1[C@H]2C[C@@H]3O[C@H]2[C@H]13,6.367,6.364
C1[C@H]2N[C@H]3[C@@H]1O[C@@H]23,6.136,6.13
C1[C@H]2O[C@H]3[C@@H]1O[C@@H]23,6.269,6.263
C1[C@H]2O[C@@H]3C[C@H]2[C@H]13,6.376,6.375
C1[C@H]2[C@H]3C[C@@H]1C[C@@H]23,6.933,6.932
C1[C@H]2[C@H]3C[C@@H]1C[N@@]23,6.431,6.425
C1[C@H]2[C@H]3C[C@@H]1O[C@@H]23,5.763,5.762
C1[C@H]2[C@H]3O[C@@H]1O[C@@H]23,5.6,5.598
C#C[C@H]1[C@H]2C[C@@H]1C2,7.152,7.147
C#C[C@H]1[C@H]2C[C@@H]1O2,6.345,6.338
C#C[C@H]1[C@H]2C[N@@]1C2,6.572,6.564
N#C[C@H]1[C@H]2C[C@@H]1C2,7.663,7.653
N#C[C@H]1[C@H]2C[C@@H]1N2,6.422,6.412
N#C[C@H]1[C@H]2C[C@@H]1O2,6.346,6.338
N#C[C@H]1[C@H]2C[N@@]1C2,6.605,6.598
O=C[C@H]1[C@H]2C[C@@H]1C2,4.329,4.323
O=C[C@H]1[C@H]2C[C@@H]1O2,4.329,4.331
O=C[C@H]1[C@H]2C[N@@]1C2,4.352,4.346
O=CN1[C@H]2C[C@@H]1C2,5.498,5.21
CC[C@H]1[C@H]2C[C@@H]1C2,7.777,7.767
CC[C@H]1[C@H]2C[C@@H]1O2,6.528,6.522
CO[C@H]1[C@H]2C[C@@H]1C2,6.628,6.623
CO[C@H]1[C@H]2C[C@@H]1O2,6.26,6.256
OC[C@H]1[C@H]2C[C@@H]1C2,7.398,7.376
OC[C@H]1[C@H]2C[C@@H]1O2,6.434,6.428
OC[C@H]1[C@H]2C[N@@]1C2,6.637,6.632
C1CC1C1CCC1,7.446,7.445
C1CC1[C@H]1CCO1,6.755,6.75
C1CC1C1COC1,6.862,6.859
C1CN1C1CCC1,6.108,6.083
C1CN1C1COC1,6.149,6.118
C1N[C@H]1[C@H]1CCO1,6.572,6.564
C1O[C@H]1C1CCC1,6.959,6.954
C1O[C@H]1[C@H]1CCO1,6.721,6.715
C1O[C@H]1C1COC1,6.742,6.739
C1CC21[C@H]1C[C@@H]2C1,7.197,7.196
C1CC21[C@H]1C[C@@H]2O1,6.524,6.518
C1N[C@]21[C@H]1C[C@@H]2O1,6.543,6.529
C1O[C@]21[C@H]1C[C@@H]2C1,6.814,6.813
C1O[C@]21[C@H]1C[C@@H]2O1,6.641,6.633
C[C@H]1[C@H]2[C@@H]3C[C@H]2[C@H]13,7.675,7.668
C[C@H]1[C@H]2[C@@H]3C[C@H]2[N@]13,6.714,6.708
C[C@H]1[C@H]2[C@@H]3C[N@]2[C@H]13,6.775,6.767
C[C@H]1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.304,6.296
CN1[C@H]2[C@@H]3C[C@H]2[C@H]13,5.949,5.931
CN1[C@H]2[C@@H]3N[C@H]2[C@H]13,5.968,5.951
CN1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.047,6.029
O[C@H]1[C@H]2[C@@H]3C[C@H]2[C@H]13,6.93,6.925
O[C@H]1[C@H]2[C@@H]3C[N@]2[C@H]13,6.736,6.727
O[C@H]1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.273,6.264
C1[C@H]2[C@@H]3C=C[C@H]2[C@H]13,5.804,4.502
C1[C@H]2[C@@H]3C=C[C@H]2[N@]13,5.157,4.305
O1[C@H]2[C@@H]3C=C[C@H]2[C@H]13,5.651,4.456
C1[C@H]2[C@@H]3CC[C@H]2[C@H]13,7.696,7.687
C1[C@H]2[C@@H]3CO[C@H]2[C@H]13,6.259,6.258
C1C[C@@H]2[C@H]3O[C@@H]2[C@@H]13,6.259,6.258
C1O[C@@H]2[C@H]3O[C@@H]2[C@@H]13,6.268,6.262
O=C1[C@H]2[C@H]3[C@@H]1C[N@@]23,4.745,4.734
O=C1[C@H]2[C@H]3C[C@@H]1[C@@H]23,4.895,4.878
O=C1[C@H]2[C@H]3C[C@@H]1[N@@]23,4.745,4.734
O=C1[C@H]2[C@H]3CN1[C@@H]23,5.156,5.13
O=C1[C@H]2[C@H]3O[C@@H]1[C@@H]23,4.588,4.554
O=C1[C@H]2C[C@@H]3[C@H]2N13,5.078,5.055
C[C@H]1[C@H]2[C@H]3[C@@H]1C[N@@]23,6.533,6.525
C[C@H]1[C@H]2[C@H]3C[C@@H]1[C@@H]23,6.439,6.438
C[C@H]1[C@H]2[C@H]3C[C@@H]1[N@@]23,6.531,6.524
C[C@H]1[C@H]2[C@H]3C[N@@]1[C@@H]23,6.539,6.537
C[C@H]1[C@H]2[C@H]3O[C@@H]1[C@@H]23,5.903,5.9
C[C@H]1[C@H]2C[C@@H]3[C@H]2[N@]13,6.491,6.485
CN1[C@H]2[C@H]3C[C@@H]1[C@@H]23,5.519,5.51
O[C@H]1[C@H]2[C@H]3[C@@H]1C[N@@]23,6.443,6.437
O[C@H]1[C@H]2[C@H]3C[C@@H]1[C@@H]23,6.456,6.455
O[C@H]1[C@H]2[C@H]3C[C@@H]1[N@@]23,6.826,6.815
O[C@H]1[C@H]2[C@H]3O[C@@H]1[C@@H]23,5.81,5.807
C1[C@H]2[C@@H]1[C@@H]1C[C@H]2C1,6.518,6.515
C1[C@H]2[C@@H]1[C@@H]1C[C@H]2O1,6.777,6.771
C1[C@H]2[C@@H]3C[C@@H](C3)[N@@]12,6.27,6.262
C1[C@H]2C[C@@H]1[C@H]1O[C@@H]21,6.395,6.383
C1[C@H]2O[C@@H]1[C@H]1N[C@@H]21,6.232,6.23
C1[C@H]2O[C@@H]1[C@H]1O[C@@H]21,5.973,5.967
C1[C@H]2[C@@H]1[C@H]1CC[C@@H]21,6.201,6.199
C1[C@H]2[C@@H]1[C@H]1OC[C@@H]21,6.283,6.28
C1[C@H]2[C@H]3OC[C@H]3[N@@]12,6.325,6.316
C1C[C@H]2[C@H]3O[C@H]3[C@@H]12,6.298,6.292
C1O[C@H]2[C@H]3N[C@H]3[C@@H]12,5.697,5.68
C1O[C@H]2[C@H]3O[C@H]3[C@@H]12,6.139,6.131
C[C@H]1[C@H]2[C@H]3C[C@H]3[C@@H]12,5.218,5.216
C[C@H]1[C@H]2[C@H]3C[C@H]3[N@@]12,5.554,5.549
C[C@H]1[C@H]2[C@H]3C[N@]3[C@@H]12,5.59,5.585
C[C@H]1[C@H]2[C@H]3N[C@H]3[C@@H]12,5.48,5.478
C[C@H]1[C@H]2[C@H]3O[C@H]3[C@@H]12,5.537,5.533
CN1[C@H]2[C@H]3C[C@H]3[C@@H]12,5.116,5.105
CN1[C@H]2[C@H]3N[C@H]3[C@@H]12,5.335,5.323
CN1[C@H]2[C@H]3O[C@H]3[C@@H]12,5.359,5.353
O[C@H]1[C@H]2[C@H]3C[C@H]3[C@@H]12,5.159,5.156
O[C@H]1[C@H]2[C@H]3C[N@]3[C@@H]12,5.507,5.501
O[C@H]1[C@H]2[C@H]3N[C@H]3[C@@H]12,5.418,5.416
O[C@H]1[C@H]2[C@H]3O[C@H]3[C@@H]12,5.522,5.518
C1[C@H]2[C@H]3N[C@H]3C[N@@]12,5.846,5.839
C1[C@H]2[C@H]3O[C@H]3C[N@@]12,5.982,5.973
C1[C@H]2C[C@H]3C[C@H]3[C@@H]12,6.478,6.477
C1[C@H]2C[C@H]3O[C@H]3[C@@H]12,6.638,6.631
C1[C@H]2N[C@H]2[C@H]2N[C@@H]12,6.097,6.094
C1[C@H]2N[C@H]2[C@H]2O[C@@H]12,6.288,6.284
C1[C@H]2O[C@H]2[C@H]2O[C@@H]12,6.469,6.457
C1[C@H]2O[C@H]3C[C@H]3[C@@H]12,5.96,5.958
C[C@H]1C[C@H]1C1CC1,6.86,6.859
C[C@H]1C[C@H]1N1CC1,6.181,6.158
C[C@H]1C[N@]1C1CC1,5.724,5.712
C[C@H]1N[C@H]1[C@H]1CN1,6.365,6.358
C[C@H]1O[C@H]1C1CC1,6.941,6.93
C[C@H]1O[C@H]1[C@H]1CN1,6.546,6.539
C[C@H]1O[C@H]1[C@H]1CO1,6.927,6.911
CN1C[C@H]1C1CC1,6.303,6.268
CN1C[C@H]1[C@H]1CN1,6.207,6.175
CN1C[C@H]1[C@H]1CO1,6.369,6.333
O[C@H]1C[C@H]1C1CC1,6.771,6.763
O[C@H]1C[C@H]1N1CC1,6.091,6.074
C1[C@H]2C[C@H]3C[C@@H]1[C@@H]23,7.167,7.164
C1[C@H]2C[C@H]3C[C@@H]1[N@@]23,6.622,6.617
C1[C@H]2C[C@H]3O[C@@H]1[C@@H]23,6.638,6.631
C1[C@H]2O[C@H]3C[N@@]1[C@@H]23,5.898,5.893
C1[C@H]2[C@H]3C=C[C@@H]1[C@@H]23,5.73,4.693
O1[C@H]2[C@H]3C=C[C@@H]1[C@@H]23,5.051,4.485
C1[C@H]2[C@H]3C[CH][C]1[C@@H]23,3.098,1.712
C1[N][C]2O[C@H]3[C@@H]1[C@@H]23,2.347,1.808
C1[C@H]2[C@H]3CC[C@@H]1[C@@H]23,6.595,6.595
C1[C@H]2[C@H]3CO[C@@H]1[C@@H]23,6.294,6.293
C1[C@H]2[C@H]3OC[C@@H]1[C@@H]23,5.768,5.766
C1[C@H]2OC[C@@H]3[C@H]2[N@]13,6.1,6.096
C1O[C@H]2[C@H]3O[C@@H]1[C@@H]23,5.158,5.156
C1[C@H]2[C@H]3[C@H]4[C@@H]1[C@@H]2[N@@]34,6.323,6.316
C1[C@@H]2[C@H]3[C@H]4[C@@H]2[C@@H]1[N@@]34,6.189,6.185
C1[C@H]2[C@H]3[C@@H]4[C@H]3[C@H]2[C@H]14,6.32,6.319
C1[C@H]2[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,6.107,6.103
C1[C@H]2[C@H]3[C@@H]4[C@H]3[N@]2[C@H]14,6.335,6.332
O1[C@H]2[C@H]3[C@H]4[C@@H]1[C@@H]2[N@@]34,6.494,6.488
O1[C@H]2[C@H]3[C@@H]4[C@H]3[C@H]2[C@H]14,6.457,6.451
C1[C@@H]2[C@H]3[C@@H]2[C@H]2[C@@H]1[C@@H]32,5.544,5.543
C1[C@H]2[C@@H]3[C@H]2[C@H]2[C@@H]3[N@@]12,5.783,5.781
C1[C@@H]2[C@H]3[C@@H]2[N@]2[C@@H]1[C@@H]32,5.766,5.763
O1[C@@H]2[C@H]3[C@@H]2[C@H]2[C@@H]1[C@@H]32,5.817,5.816
C#Cc1ccn[nH]1,5.92,4.579
C#Cc1ccno1,5.417,3.963
C#Cc1cnn[nH]1,5.752,4.427
C#Cc1cnno1,5.062,3.558
C#Cc1c[nH]nc1,5.785,4.816
C#Cc1c[nH]nn1,5.974,4.757
C#Cc1conc1,5.572,4.235
C#Cc1conn1,5.07,3.71
C#Cc1ncno1,5.609,4.423
C#Cc1n[nH]cc1,5.95,4.894
C#Cc1n[nH]cn1,6.27,4.928
C#Cc1n[nH]nc1,5.92,4.573
C#Cc1n[nH]nn1,6.135,4.841
C#Cc1nocc1,5.699,4.607
C#Cc1nocn1,5.756,4.723
C#Cc1nonc1,5.668,4.314
C#Cc1nonn1,5.094,3.936
C1Cc2ccnn12,6.002,5.257
C1Cc2cnnn12,6.322,5.307
C1C[C]2N=C[N][N@@]12,6.304,5.277
Cc1c(C)cn[nH]1,5.849,5.045
Cc1c(C)cno1,5.759,4.355
Cc1c(C)nn[nH]1,5.989,4.722
Cc1c(C)nno1,5.309,3.76
Cc1c(N)cn[nH]1,4.712,4.183
Cc1c(N)cno1,4.662,3.399
Cc1c(N)nn[nH]1,4.958,3.888
Cc1c(N)nno1,4.185,2.758
Cc1c(N)[nH]nc1,4.519,4.401
Cc1c(N)[nH]nn1,4.26,4.017
Cc1c(N)onc1,4.506,3.697
Cc1c(N)onn1,4.606,3.231
Cc1c(O)cn[nH]1,4.868,4.315
C[C]1C(=N[N]N1)O,4.991,4.032
C[C]1C(=N[N]O1)O,4.648,2.996
Cc1c(O)[nH]nc1,4.982,4.877
Cc1cc(C)n[nH]1,5.96,5.153
Cc1cc(C)no1,5.879,4.487
Cc1cc(N)n[nH]1,5.07,4.431
Cc1cc(N)no1,5.348,4.265
Cc1cc(O)n[nH]1,5.428,4.695
Cc1cc(O)no1,6.055,4.65
Cc1cncnn1,2.931,2.93
Cc1cnncn1,3.02,3.02
Cc1cnnnn1,2.781,2.781
Cc1c[nH]nc1C,5.88,5.176
Cc1c[nH]nc1N,4.844,4.504
Cc1c[nH]nc1O,5.429,4.677
Cc1conc1C,5.867,4.584
Cc1conc1N,5.365,4.326
Cc1conc1O,5.997,4.761
C[C]1N=C(C)[N]N1,6.32,5.195
Cc1nc(C)no1,5.722,4.984
C[C]1N=C(N)[N]N1,4.966,4.317
Cc1nc(N)no1,5.242,4.047
C[C]1N=[C](=NN1)O,5.73,4.666
Cc1nccnn1,2.938,2.938
CC1=[N]=C[N]N=N1,2.642,2.642
Cc1nnc(C)[nH]1,5.763,5.293
Cc1nnc(C)o1,5.619,4.967
Cc1n[nH]c(=O)[nH]1,5.128,4.52
Cc1n[nH]c(=O)o1,5.51,4.531
Cc1n[nH]c(N)c1,4.389,4.306
Cc1n[nH]c(N)n1,4.59,4.456
Cc1n[nH]c(O)c1,4.817,4.802
Cc1n[nH]c(O)n1,5.25,5.014
Cc1n[nH]cc1N,4.509,4.279
Cc1n[nH]cc1O,4.871,4.386
Cc1n[nH]nc1C,6.153,4.766
Cc1n[nH]nc1N,5.009,3.993
Cc1n[nH]nc1O,5.618,4.2
Cc1noc(=O)[nH]1,6.089,4.99
Cc1noc(=O)o1,6.806,5.418
Cc1noc(N)c1,4.543,3.77
Cc1noc(N)n1,5.234,4.265
Cc1nocc1N,4.666,3.504
Cc1nonc1C,5.68,4.836
Cc1nonc1N,4.977,3.643
CCc1ccn[nH]1,5.63,5.267
CCc1ccno1,5.887,4.537
CCc1cnn[nH]1,5.853,4.941
CCc1cnno1,5.505,3.983
CCc1c[nH]nc1,5.716,5.239
CCc1c[nH]nn1,6.031,4.912
CCc1conc1,5.881,4.525
CCc1conn1,5.45,3.909
CC[C]1N=C[N]N1,6.107,5.413
CCc1ncno1,5.883,5.211
CCc1n[nH]cc1,5.822,5.336
CCc1n[nH]cn1,6.231,5.423
CCc1n[nH]nc1,6.29,4.905
CCc1n[nH]nn1,6.2,5.165
CCc1nocc1,6.085,4.758
CCc1nocn1,5.866,5.283
CCc1nonc1,5.707,4.972
CCc1nonn1,5.218,4.594
CCn1cccn1,5.872,5.344
CCn1ccnn1,6.226,5.241
CCN1[CH]N=C[N]1,6.344,5.478
CCn1cnnc1,6.441,6.185
CCn1cnnn1,6.182,6.131
CCn1nccn1,6.22,4.963
CCn1ncnn1,6.481,5.363
CCn1nnnn1,6.203,5.822
Cn1cc(C)cn1,6.026,5.114
Cn1cc(C)nn1,6.127,4.977
Cn1cc(N)cn1,4.705,4.242
Cn1cc(N)nn1,4.998,4.095
Cn1cc(O)cn1,4.936,4.358
CN1[CH]C(=N[N]1)O,5.316,4.276
Cn1ccc(C)n1,6.121,5.134
Cn1ccc(N)n1,4.878,4.413
Cn1ccc(O)n1,5.298,4.683
CN1[CH]N=C(C)[N]1,6.522,5.294
CN1[CH]N=C(N)[N]1,4.967,4.388
CN1[CH]N=[C](=N1)O,5.426,4.783
Cn1cn[nH]c1=O,5.299,4.737
Cn1cnoc1=O,6.074,4.873
Cn1ncc(C)n1,6.085,4.722
Cn1ncc(N)n1,5.005,3.966
Cn1ncc(O)n1,5.415,4.244
Cn1nccc1C,6.203,5.241
Cn1nccc1N,4.864,4.611
Cn1nccc1O,5.21,5.022
Cn1ncnc1C,6.545,5.271
Cn1ncnc1N,4.984,4.668
Cn1ncnc1O,5.804,5.184
Cn1nc[nH]c1=O,5.05,4.542
Cn1ncoc1=O,5.6,4.436
CN1[N]N=C(C)[N]1,6.404,5.096
CN1[N]N=C(N)[N]1,5.191,4.109
CN1[N]N=[C](=N1)O,6.158,4.524
Cn1nncc1C,6.168,5.027
Cn1nncc1N,4.685,4.323
Cn1nncc1O,5.371,4.755
Cn1nn[nH]c1=O,5.642,4.229
Cn1nnoc1=O,5.769,4.212
C/N=c\1/[nH]cno1,4.933,4.305
CN=c1[nH]nn[nH]1,4.565,3.417
C/N=c\1/ocno1,5.965,4.802
CN=c1onno1,4.936,4.168
CNc1ccn[nH]1,4.651,4.374
CNc1ccno1,4.954,3.696
CNc1cnn[nH]1,4.273,4.02
CNc1cnno1,4.741,3.251
CNc1c[nH]nc1,4.583,4.092
CNc1c[nH]nn1,4.746,3.723
CNc1conc1,4.439,3.258
CNc1conn1,3.809,2.479
CN[C]1N=C[N]N1,4.855,4.479
CNc1ncno1,5.392,4.152
CNc1n[nH]cc1,4.892,4.338
CNc1n[nH]cn1,4.964,4.156
CNc1n[nH]nc1,5.036,3.822
CNc1n[nH]nn1,4.962,3.665
CNc1nocc1,5.154,4.01
CNc1nocn1,4.889,3.714
CNc1nonc1,4.485,3.221
CNc1nonn1,3.799,2.624
COc1ccn[nH]1,5.412,4.93
COc1ccno1,5.684,4.257
COc1cnno1,5.312,3.725
COc1c[nH]nc1,4.987,4.41
COC1=N[N]N[CH]1,5.326,4.095
COc1conc1,5.075,3.722
COC1=N[N]O[CH]1,4.637,2.995
COc1ncno1,6.359,4.95
COc1n[nH]cc1,5.314,4.742
CO[C]1=NN[CH]N=1,5.548,4.744
COc1n[nH]nc1,5.722,4.297
CO[C]1=NN[N]N=1,5.983,4.399
COc1nocc1,6.043,4.715
CO[C]1=NOC=[N]=1,5.993,4.571
COc1nonc1,5.576,4.092
CO[C]1=NO[N]N=1,5.128,3.628
N#Cc1ccn[nH]1,5.767,4.66
N#Cc1ccno1,5.732,4.138
N#Cc1cnno1,5.165,3.772
N#Cc1c[nH]nc1,6.21,5.069
N#Cc1c[nH]nn1,6.151,5.145
N#Cc1conc1,6.083,4.598
N#Cc1conn1,5.595,4.188
N#Cc1ncno1,5.385,4.653
N#Cc1n[nH]cc1,5.898,5.01
N#Cc1n[nH]cn1,6.286,5.141
N#Cc1n[nH]nc1,6.166,4.795
N#Cc1nocc1,5.492,4.381
N#CC1=NO[CH][N]1,5.697,5.042
N#Cc1nonc1,5.571,4.877
N#Cc1nonn1,5.26,4.704
[NH]C1=N[N]NC=C1,3.45,2.529
N=c1cconc1,4.337,3.151
[NH]C1=N[N]OC=C1,3.343,2.711
[NH]C1=C[N]NN=C1,4.099,3.088
[NH]C1=N[N]NN=C1,3.322,2.976
[NH][C]1C=NOC=N1,3.925,3.922
N=c1cnonc1,3.862,3.54
[NH]C1=N[N]ON=C1,2.994,2.97
[NH][C]1=N[CH]N[N]N=1,3.098,3.096
[NH][C]1=N[N]N[N]N=1,2.518,2.512
[NH][C]1=N[N]O[N]N=1,2.578,2.489
N=c1[nH]nccc1,3.456,2.376
N=c1[nH]ncnc1,3.401,2.205
N=c1[nH]nncc1,3.568,2.552
[NH]C1=NC=N[N]N1,2.958,2.523
N=c1onccc1,4.073,2.809
[NH]C1=N[CH]C=NO1,3.29,2.85
N=c1oncnc1,3.233,2.865
N=c1onncc1,3.447,2.644
[NH]C1=NC=N[N]O1,2.646,2.646
Nc1c(N)cn[nH]1,3.907,3.816
Nc1c(N)cno1,3.995,3.119
Nc1c(N)nn[nH]1,3.779,3.55
Nc1c(N)nno1,4.044,2.644
Nc1c(O)cn[nH]1,4.016,3.96
N[C]1C(=N[N]N1)O,3.734,3.565
N[C]1C(=N[N]O1)O,4.144,2.716
Nc1c(O)[nH]nc1,4.219,4.201
Nc1c(O)[nH]nn1,4.319,3.903
Nc1cc(N)n[nH]1,4.4,4.285
Nc1cc(N)no1,4.487,3.845
Nc1cc(O)n[nH]1,4.347,4.287
Nc1cc(O)no1,4.421,3.881
Nc1cncnn1,3.07,3.057
Nc1cnncn1,3.468,3.468
Nc1cnnnn1,3.002,3.0
Nc1c[nH]nc1N,4.386,4.06
Nc1c[nH]nc1O,4.132,3.986
Nc1conc1N,4.814,3.706
Nc1conc1O,4.656,3.581
N[C]1N=C(N)[N]N1,4.276,4.113
Nc1nc(N)no1,4.849,4.061
N[C]1N=[C](=NN1)O,4.284,4.148
NC1=[N]=[C](=NO1)O,4.819,4.169
Nc1nccnn1,3.08,3.08
NC1=[N]=C[N]N=N1,2.861,2.861
Nc1nnc(N)[nH]1,4.525,3.981
Nc1nnc(N)o1,4.514,3.644
Nc1n[nH]c(=O)[nH]1,4.17,4.04
Nc1n[nH]c(=O)o1,4.066,3.827
Nc1n[nH]c(O)c1,4.608,4.423
Nc1n[nH]c(O)n1,4.577,4.33
Nc1n[nH]nc1N,4.695,3.629
Nc1n[nH]nc1O,4.578,3.575
Nc1noc(=O)[nH]1,4.729,4.477
Nc1noc(=O)o1,4.811,4.468
Nc1nonc1N,4.907,3.488
NCc1ncno1,5.522,5.141
NCc1nonn1,4.679,4.406
O=c1cc[nH]nc1,3.838,3.409
O=c1cconc1,3.456,3.456
O=c1cnocn1,3.243,3.243
O=c1cnonc1,2.872,2.872
O=c1cnonn1,2.121,2.074
O=c1nnonn1,1.858,1.766
O=c1[nH]nccc1,4.251,3.125
O=c1[nH]nccn1,3.266,3.051
O=c1[nH]ncnc1,3.272,2.9
O=c1[nH]nncc1,3.529,3.359
O=C1N[N]N=C[N]1,2.618,2.618
O=c1onccc1,3.782,3.487
O=c1onccn1,2.795,2.795
O=c1oncnc1,2.697,2.697
O=c1onncc1,3.314,3.314
O=C1O[N]N=C[N]1,2.271,2.271
O=Cc1ccn[nH]1,4.067,3.839
O=Cc1ccno1,3.768,3.482
O=Cc1cnno1,3.641,3.327
O=Cc1c[nH]nc1,4.149,4.147
O=Cc1c[nH]nn1,4.058,4.058
O=Cc1conc1,4.056,4.056
O=Cc1conn1,4.009,4.009
O=Cc1ncno1,3.717,3.717
O=Cc1n[nH]cc1,4.024,4.024
O=Cc1n[nH]nc1,4.034,4.034
O=Cc1nocc1,3.81,3.81
O=Cc1nocn1,3.747,3.747
O=Cc1nonc1,3.734,3.734
O=Cc1nonn1,3.619,3.619
O=Cn1cccn1,5.142,4.201
O=Cn1ccnn1,4.766,3.909
O=CN1[CH]N=C[N]1,5.022,4.449
O=Cn1cnnc1,5.127,4.925
O=Cn1cnnn1,4.824,4.824
O=Cn1nccn1,5.071,4.121
O=Cn1ncnn1,4.659,4.407
O=Cn1nnnn1,4.338,4.338
Oc1c(O)cn[nH]1,3.958,3.958
OC1=N[N]C=N[CH]1,3.081,3.081
Oc1cnncn1,3.382,3.382
Oc1cnnnn1,2.891,2.891
OC1=[N]=[C](=NN1)O,5.005,4.651
O[C]1=NC=C[N]N=1,3.026,3.026
O[C]1=NC=N[N]N=1,2.804,2.804
Oc1nnc(O)[nH]1,4.795,4.499
Oc1n[nH]c(=O)[nH]1,4.588,4.284
Oc1n[nH]c(=O)o1,4.728,4.274
Oc1n[nH]nc1O,5.007,3.728
Oc1noc(=O)o1,5.601,5.136
OCc1ccn[nH]1,6.06,5.207
OCc1ccno1,5.854,4.454
OCc1cnn[nH]1,6.13,4.934
OCc1cnno1,5.387,3.896
OCc1c[nH]nc1,5.873,5.292
OCc1c[nH]nn1,6.147,4.93
OCc1conc1,5.834,4.493
OCc1conn1,5.397,3.914
OC[C]1N=C[N]N1,6.502,5.385
OCc1ncno1,5.716,5.181
OCc1n[nH]cc1,6.006,5.298
OCc1n[nH]cn1,6.333,5.495
OCc1n[nH]nc1,6.256,4.877
OCc1nocc1,6.026,4.678
OCc1nocn1,5.821,5.296
OCc1nonc1,5.682,4.826
OCc1nonn1,5.164,4.755
ON=c1cc[nH]cc1,3.245,2.619
ON=c1ccocc1,3.878,2.973
O/N=c\1/cc[nH]nc1,3.228,2.477
O/N=c\1/cconc1,3.777,2.736
ON=c1cnonc1,4.359,3.028
C/C(=N\O)/C(C)(C)C,6.067,5.412
C/C(=N\O)/C(C)(C)O,5.867,5.321
CC(=O)C/C(=N/O)/C,4.03,3.991
C/C(=N\O)/CC(=O)N,5.177,4.86
CC(C)C/C(=N/O)/C,6.008,5.263
C[C@@H](O)C/C(=N/O)/C,6.004,5.201
CC1(C)CC(=NO)C1,5.868,5.325
C[C@@]1(O)C/C(=N/O)/C1,5.777,5.321
CC#CC/C(=N/O)/C,5.92,5.287
C/C(=N\O)/C#CC#C,5.212,3.992
C/C(=N\O)/C#CC#N,5.122,4.005
C/C(=N\O)/C#CC=O,4.031,3.681
C/C(=N\O)/CCC#C,5.579,5.263
C/C(=N\O)/CCC#N,5.905,5.166
C/C(=N\O)/CCC=O,4.426,4.426
C/C(=N\O)/CNC=O,5.594,5.241
C/C(=N\O)/COC=N,5.734,5.207
C/C(=N\O)/COC=O,5.905,5.208
C/C(=N\O)/C#CCO,5.473,4.363
CCC#C/C(=N/O)/C,5.54,4.295
C/C(=N\O)/CCCO,5.985,5.275
CCCC/C(=N/O)/C,6.022,5.278
CCOC/C(=N/O)/C,5.499,5.253
COCC/C(=N/O)/C,6.021,5.238
CC1(C)CC/C/1=N\O,5.979,5.494
CC1(C)NC/C/1=N\O,5.65,5.325
CC1(C)OC/C/1=N\O,5.971,5.417
C[C@@]1(O)CC/C/1=N\O,5.438,5.447
O/N=C(/CC#C)\C#C,5.652,4.376
O/N=C(/CC#N)\C#C,5.612,4.302
O/N=C(/CC=O)\C#C,4.134,4.062
CC#C/C(=N/O)/C#C,5.332,3.792
CC#C/C(=N/O)/CO,5.144,4.295
CC/C(=N\O)/C#CC,5.531,4.378
CC/C(=N\O)/CC#C,5.623,5.343
CC/C(=N/O)/CC#N,6.041,5.373
CC/C(=N\O)/CC=O,4.1,4.067
CCC/C(=N/O)/C#C,5.633,4.363
COC/C(=N/O)/C#C,5.567,4.348
OCC/C(=N/O)/C#C,5.653,4.381
CC/C(=N\O)/CCO,5.426,5.21
CC/C(=N\O)/COC,5.871,5.349
CCC/C(=N/O)/CC,6.067,5.37
CCC/C(=N/O)/CO,5.335,5.344
C[NH2]C[C](CO)[N][O],5.314,5.187
OCC/C(=N/O)/CO,5.275,5.243
[NH2]=C(N)/C(=N/[O])/C#N,1.018,1.018
[NH2]=C(N)/C(=N/[O])/C=O,0.783,0.783
C[C@@H](C#C)/C(=N/O)/C,5.718,5.343
C[C@@H](C#N)/C(=N/O)/C,6.034,5.267
CC(C)/C(=N\O)/C#C,5.531,4.45
C[C@@H](O)/C(=N\O)/C#C,4.659,4.398
C[C@@H](C=O)/C(=N/O)/C,4.175,4.154
CC/C(=N\O)/C(=O)N,4.544,4.386
